# Columns:
# QSO_ID = QSO name
# z_abs = absorber redshift
# N(HI) = HI column density
# sig(N(HI)) = HI column density error
# [M/H] = metallicity
# sig([M/H]) = metallicity error
# log_Z = log of metal abundance by mass
# log_DTG = log of dust-to-gas ratio
# log_DTM = log of dust-to-metal ratio
QSO_ID,z_abs,N(HI),sig(N(HI)),[M/H],sig([M/H]),log_Z,log_DTG,log_DTM
Q0450−13,2.067,20.53,0.08,-1.08,0.12,-2.95,-3.894,-0.943
Q0458−0203,2.04,21.65,0.09,-0.754,0.13,-2.642,-3.256,-0.614
Q0528−2505,2.141,20.95,0.05,-0.99,0.13,-2.86,-3.724,-0.864
Q0528−2505,2.812,21.2,0.04,-0.157,0.09,-2.049,-2.64,-0.591
Q0551−366,1.962,20.5,0.08,0.296,0.13,-1.606,-2.128,-0.522
Q0642−5038,2.659,20.95,0.08,-1.56,0.12,-3.43,-4.232,-0.802
Q0824+1302,4.829,20.8,0.15,-1.64,0.23,-3.51,-4.426,-0.916
Q0836+11,2.465,20.58,0.1,-0.97,0.13,-2.84,-4.169,-1.329
Q0841+12,2.476,20.78,0.08,-1.44,0.15,-3.31,-4.572,-1.262
Q0841+12,2.375,20.99,0.08,-1.2,0.11,-3.07,-4.01,-0.94
Q0913+072,2.618,20.34,0.04,-2.11,0.08,-3.98,-5.309,-1.329
Q0918+1636,2.412,21.26,0.06,-0.255,0.31,-2.142,-2.771,-0.629
Q0918+1636,2.583,20.96,0.05,0.216,0.09,-1.686,-2.208,-0.522
Q0930+28,3.235,20.35,0.1,-1.75,0.13,-3.62,-5.016,-1.396
Q0933+733,1.479,21.62,0.1,-1.17,0.12,-3.04,-3.796,-0.756
Q0933−3319,2.682,20.5,0.1,-1.03,0.18,-2.9,-4.026,-1.126
Q0935+417,1.373,20.52,0.1,-0.53,0.16,-2.4,-3.223,-0.823
Q0948+433,1.233,21.62,0.05,-0.7,0.09,-2.577,-3.289,-0.712
Q1010+0003,1.265,21.52,0.07,-0.8,0.13,-2.685,-3.327,-0.642
Q1021+30,2.949,20.7,0.1,-1.6,0.12,-3.47,-4.926,-1.455
Q1036−2257,2.778,20.93,0.05,-1.09,0.09,-2.96,-3.999,-1.039
Q1055+46,3.317,20.34,0.1,-1.37,0.17,-3.24,-4.569,-1.329
Q1111−152,3.266,21.3,0.05,-1.24,0.13,-3.11,-3.88,-0.77
